,Log2 fold change,std error (log2),Lower confidence limit (log2),Upper confidence limit (log2),Linear fold change,Lower confidence limit (linear),Upper confidence limit (linear),P-value,BY.p.value,method,Gene.sets,probe.ID
ADGRG1-mRNA,-0.442,0.382,-1.19,0.307,0.736,0.438,1.24,0.261,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Neurogenesis",NM_005682.4:1145
GNAS-mRNA,-0.218,0.189,-0.589,0.152,0.86,0.665,1.11,0.261,1,lm.nb,"Calcium Signaling, Dopaminergic Synapse, Glutamatergic Synapse, Microglia Neurodegenerative Phenotype (MGnD), Serotonergic Synapse",NM_080425.1:1910
VEGFA-mRNA,-0.5,0.436,-1.35,0.353,0.707,0.391,1.28,0.264,1,lm.nb,"Angiogenesis, Hypoxia, Microglia Neurodegenerative Phenotype (MGnD), Neurogenesis",NM_001025366.1:1325
ADORA3-mRNA,1.43,1.24,-1,3.86,2.69,0.498,14.5,0.264,1,Wald,"Neuroactive Ligands and Receptors, Purinergic Signaling",NM_000677.3:1524
DNM1-mRNA,-0.377,0.33,-1.02,0.27,0.77,0.492,1.21,0.267,1,lm.nb,"Antigen Processing and Presentation, Cytoskeletal Dynamics, Gap Junctions",NM_004408.2:817
KCNV1-mRNA,-0.681,0.596,-1.85,0.487,0.624,0.277,1.4,0.267,1,lm.nb,Ion Transport,NM_014379.2:1622
ATP6V1H-mRNA,-0.218,0.192,-0.595,0.159,0.86,0.662,1.12,0.271,1,lm.nb,"Ion Transport, Phagocytosis",NM_213620.1:490
CSF1-mRNA,0.356,0.317,-0.266,0.977,1.28,0.832,1.97,0.275,1,lm.nb,"Cytokines, Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia, Stage 2 DAM",NM_000757.4:823
HLA-E-mRNA,-0.358,0.322,-0.99,0.273,0.78,0.503,1.21,0.279,1,lm.nb,"A1 Astrocyte, Antigen Processing and Presentation",NM_005516.5:330
CA2-mRNA,0.402,0.362,-0.308,1.11,1.32,0.808,2.16,0.28,1,lm.nb,"Cytoskeletal Dynamics, Oligodendrocyte Markers",NM_000067.2:575
HMGB1-mRNA,-0.128,0.115,-0.353,0.098,0.915,0.783,1.07,0.281,1,lm.nb,"Autophagy, Neurogenesis",NM_002128.4:208
GRB2-mRNA,-0.143,0.13,-0.397,0.111,0.906,0.759,1.08,0.283,1,lm.nb,"MAPK & PI3K, T-cell signaling",NM_002086.4:412
CAMK2G-mRNA,0.186,0.169,-0.145,0.517,1.14,0.904,1.43,0.284,1,lm.nb,Calcium Signaling,NM_001222.2:233
SERPINI1-mRNA,-0.369,0.336,-1.03,0.289,0.774,0.49,1.22,0.285,1,lm.nb,Neurogenesis,NM_005025.4:435
SLC12A2-mRNA,0.11,0.101,-0.0875,0.308,1.08,0.941,1.24,0.287,1,lm.nb,Ion Transport,NM_001046.2:1255
RBX1-mRNA,-0.103,0.0962,-0.292,0.0852,0.931,0.817,1.06,0.295,1,lm.nb,"Cell Cycle, Circadian Signaling, Hypoxia, Proteotoxic Stress, Wnt Signaling",NM_014248.2:162
GPHN-mRNA,-0.129,0.12,-0.364,0.107,0.915,0.777,1.08,0.297,1,lm.nb,GABAergic Synapse,NM_020806.4:1145
SRPRA-mRNA,-0.166,0.155,-0.469,0.138,0.892,0.722,1.1,0.298,1,lm.nb,Proteotoxic Stress,NM_001177842.1:1065
TRIM3-mRNA,-0.293,0.274,-0.831,0.245,0.816,0.562,1.18,0.298,1,lm.nb,Interferon Signaling,NM_006458.2:1880
CALM2-mRNA,-0.214,0.201,-0.608,0.18,0.862,0.656,1.13,0.299,1,lm.nb,Calcium Signaling,NM_001743.4:416
TRIM35-mRNA,-0.185,0.174,-0.525,0.155,0.88,0.695,1.11,0.3,1,lm.nb,Interferon Signaling,NM_171982.3:886
LRRC7-mRNA,-0.536,0.507,-1.53,0.457,0.689,0.346,1.37,0.303,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_020794.2:2382
PRKDC-mRNA,-0.106,0.101,-0.304,0.0908,0.929,0.81,1.06,0.303,1,lm.nb,Cell Cycle,NM_001081640.1:2762
SHC3-mRNA,-0.216,0.205,-0.617,0.185,0.861,0.652,1.14,0.304,1,lm.nb,Neurotrophin Signaling,NM_016848.5:925
CD163-mRNA,0.538,0.514,-0.469,1.54,1.45,0.722,2.92,0.308,1,lm.nb,,NM_004244.4:1630
GABRA1-mRNA,-0.322,0.308,-0.926,0.283,0.8,0.526,1.22,0.309,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors",NM_000806.5:475
MAPK10-mRNA,-0.281,0.27,-0.81,0.248,0.823,0.57,1.19,0.311,1,lm.nb,MAPK & PI3K,NM_138981.2:450
TMSB4X-mRNA,-0.118,0.114,-0.341,0.105,0.921,0.789,1.08,0.312,1,lm.nb,"Cytoskeletal Dynamics, Homeostatic Microglia",NM_021109.4:86
SELPLG-mRNA,1.22,1.18,-1.09,3.53,2.33,0.469,11.6,0.314,1,Wald,"Cell Migration, Microglial Markers, Primed Microglia",NM_001206609.1:326
HCN1-mRNA,-0.531,0.519,-1.55,0.487,0.692,0.342,1.4,0.319,1,lm.nb,Ion Transport,NM_021072.2:1450
HTR5A-mRNA,0.245,0.241,-0.228,0.718,1.19,0.854,1.64,0.322,1,lm.nb,"Calcium Signaling, Neuroactive Ligands and Receptors, Serotonergic Synapse",NM_024012.2:776
TFEC-mRNA,1.06,1.04,-0.988,3.1,2.08,0.504,8.58,0.324,1,Wald,Microglia Neurodegenerative Phenotype (MGnD),NM_012252.2:890
SLC9B2-mRNA,-0.224,0.223,-0.661,0.212,0.856,0.633,1.16,0.325,1,lm.nb,Ion Transport,NM_178833.4:1448
GRIN2A-mRNA,-0.261,0.26,-0.772,0.249,0.834,0.586,1.19,0.327,1,lm.nb,"Calcium Signaling, Dopaminergic Synapse, Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_000833.3:4497
ROCK2-mRNA,-0.15,0.15,-0.444,0.144,0.901,0.735,1.1,0.329,1,lm.nb,"Cell Migration, Wnt Signaling",NM_004850.3:3140
AIF1-mRNA,0.317,0.317,-0.305,0.939,1.25,0.809,1.92,0.33,1,lm.nb,"Microglial Markers, NO Metabolism and Signaling",NM_032955.1:185
ABCB1-mRNA,0.28,0.282,-0.272,0.833,1.21,0.828,1.78,0.332,1,lm.nb,Blood Brain Barrier,NM_000927.3:3910
ITGAX-mRNA,1.13,1.14,-1.1,3.37,2.19,0.467,10.3,0.332,1,Wald,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia, Stage 2 DAM",NM_000887.4:1128
CYP4X1-mRNA,-0.238,0.24,-0.709,0.233,0.848,0.612,1.18,0.334,1,lm.nb,Serotonergic Synapse,NM_178033.1:810
CTSL-mRNA,-0.272,0.276,-0.812,0.269,0.828,0.569,1.2,0.336,1,lm.nb,"Apoptosis, Autophagy, Microglia Neurodegenerative Phenotype (MGnD), Stage 2 DAM",NM_001912.4:1072
CUL1-mRNA,-0.142,0.145,-0.426,0.141,0.906,0.745,1.1,0.337,1,lm.nb,"Antigen Processing and Presentation, Cell Cycle, Circadian Signaling, Primed Microglia, Proteotoxic Stress, Wnt Signaling",NM_003592.2:1487
INA-mRNA,-0.366,0.373,-1.1,0.365,0.776,0.467,1.29,0.338,1,lm.nb,Cytoskeletal Dynamics,NM_032727.4:1270
PNOC-mRNA,-0.961,0.979,-2.88,0.957,0.514,0.136,1.94,0.339,1,Wald,Cytoskeletal Dynamics,NM_001284244.1:416
PRKACB-mRNA,-0.206,0.213,-0.624,0.212,0.867,0.649,1.16,0.345,1,lm.nb,"Calcium Signaling, MAPK & PI3K, Wnt Signaling",NM_182948.2:805
PSMD6-mRNA,-0.0987,0.103,-0.3,0.102,0.934,0.812,1.07,0.348,1,lm.nb,Antigen Processing and Presentation,NM_001271779.1:1045
GLA-mRNA,0.0968,0.101,-0.101,0.294,1.07,0.933,1.23,0.348,1,lm.nb,NO Metabolism and Signaling,NM_000169.2:980
SLC17A7-mRNA,-0.272,0.284,-0.829,0.286,0.828,0.563,1.22,0.351,1,lm.nb,"Cannabinoid Signaling, Glutamatergic Synapse, Neuronal Markers",NM_020309.2:1330
TRIM37-mRNA,-0.253,0.265,-0.773,0.267,0.839,0.585,1.2,0.351,1,lm.nb,Antigen Processing and Presentation,NM_015294.4:1910
SAMM50-mRNA,-0.104,0.11,-0.32,0.113,0.93,0.801,1.08,0.358,1,lm.nb,Glucose Metabolism,NM_015380.4:890
ATP2B2-mRNA,-0.205,0.219,-0.634,0.223,0.867,0.644,1.17,0.359,1,lm.nb,"Calcium Signaling, Ion Transport",NM_001001331.2:426
IFIT1-mRNA,0.275,0.295,-0.303,0.853,1.21,0.811,1.81,0.362,1,lm.nb,Interferon Signaling,NM_001548.3:1440
UCHL1-mRNA,-0.331,0.357,-1.03,0.369,0.795,0.489,1.29,0.365,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_004181.4:579
BAX-mRNA,0.124,0.134,-0.139,0.388,1.09,0.908,1.31,0.366,1,lm.nb,"Apoptosis, Proteotoxic Stress",NM_138761.3:342
UNC80-mRNA,-0.235,0.256,-0.737,0.266,0.849,0.6,1.2,0.369,1,lm.nb,Ion Transport,NM_032504.1:3056
CAMK2A-mRNA,-0.231,0.253,-0.727,0.264,0.852,0.604,1.2,0.371,1,lm.nb,Calcium Signaling,NM_001363989.1:1392
PSEN1-mRNA,0.189,0.207,-0.216,0.594,1.14,0.861,1.51,0.372,1,lm.nb,"Astrocyte DifferentiationFunction, Neurogenesis, Neurotrophin Signaling, Wnt Signaling",NM_000021.2:900
MAPT-mRNA,0.163,0.179,-0.187,0.513,1.12,0.878,1.43,0.372,1,lm.nb,"Astrocyte DifferentiationFunction, Cytoskeletal Dynamics, Neurogenesis",NM_016834.4:315
JAK1-mRNA,0.104,0.114,-0.12,0.329,1.08,0.92,1.26,0.372,1,lm.nb,JAK-STAT,NM_002227.1:285
SLC25A12-mRNA,-0.255,0.28,-0.804,0.294,0.838,0.573,1.23,0.374,1,lm.nb,Myelogenesis,NM_003705.5:435
CTSD-mRNA,0.094,0.103,-0.109,0.297,1.07,0.927,1.23,0.374,1,lm.nb,"Apoptosis, Autophagy, Homeostatic Microglia, Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Stage 1 DAM",NM_001909.4:1270
TENM4-mRNA,-0.151,0.167,-0.478,0.175,0.901,0.718,1.13,0.375,1,lm.nb,"Myelogenesis, Neurogenesis, Oligodendrocyte DifferentiationMaturation",NM_001098816.3:5518
IFNAR1-mRNA,-0.12,0.134,-0.383,0.142,0.92,0.767,1.1,0.38,1,lm.nb,Interferon Signaling,NM_000629.2:782
PGAM1-mRNA,-0.0845,0.0943,-0.269,0.1,0.943,0.83,1.07,0.381,1,lm.nb,Glucose Metabolism,NM_002629.3:439
DUSP3-mRNA,-0.105,0.118,-0.337,0.126,0.93,0.792,1.09,0.383,1,lm.nb,"MAPK & PI3K, Neurotrophin Signaling",NM_004090.3:159
PRKCD-mRNA,-0.217,0.244,-0.695,0.261,0.86,0.618,1.2,0.384,1,lm.nb,"Neurotrophin Signaling, Phagocytosis",NM_006254.3:2165
NRXN1-mRNA,-0.309,0.349,-0.993,0.374,0.807,0.503,1.3,0.385,1,lm.nb,"Cell Migration, Neurogenesis",NM_001320156.1:364
AQP4-mRNA,0.207,0.235,-0.254,0.667,1.15,0.839,1.59,0.389,1,lm.nb,Astrocyte Markers,NM_004028.4:1169
UBQLN1-mRNA,-0.125,0.142,-0.403,0.154,0.917,0.756,1.11,0.391,1,lm.nb,Proteotoxic Stress,NM_053067.2:990
CX3CL1-mRNA,0.335,0.383,-0.416,1.09,1.26,0.749,2.12,0.392,1,lm.nb,Chemokines,NM_002996.4:1080
NCKAP1-mRNA,-0.167,0.192,-0.544,0.209,0.891,0.686,1.16,0.395,1,lm.nb,"Angiogenesis, Neurogenesis",NM_013436.3:2353
FGF2-mRNA,-0.299,0.344,-0.973,0.375,0.813,0.509,1.3,0.395,1,lm.nb,"Cytokines, MAPK & PI3K",NM_002006.4:620
CD84-mRNA,0.753,0.876,-0.964,2.47,1.68,0.513,5.54,0.401,1,Wald,Primed Microglia,NM_003874.3:680
SYT1-mRNA,-0.325,0.378,-1.07,0.417,0.799,0.478,1.34,0.401,1,lm.nb,"Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse, Neurogenesis, Neuronal Markers, Serotonergic Synapse",NM_005639.2:1736
OPCML-mRNA,-0.271,0.317,-0.892,0.349,0.828,0.539,1.27,0.401,1,lm.nb,Neurogenesis,NM_002545.4:873
GABRA3-mRNA,-0.284,0.331,-0.933,0.365,0.822,0.524,1.29,0.402,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors",NM_000808.3:241
ITM2A-mRNA,0.199,0.236,-0.264,0.661,1.15,0.833,1.58,0.409,1,lm.nb,Blood Brain Barrier,NM_004867.4:988
SYN2-mRNA,-0.331,0.394,-1.1,0.44,0.795,0.466,1.36,0.41,1,lm.nb,"Dopaminergic Synapse, Serotonergic Synapse",NM_003178.5:1292
SYN1-mRNA,-0.252,0.299,-0.839,0.335,0.84,0.559,1.26,0.41,1,lm.nb,"Cytoskeletal Dynamics, Dopaminergic Synapse, Neurogenesis, Neuronal Markers, Serotonergic Synapse",NM_006950.3:565
FBXW11-mRNA,0.0973,0.117,-0.132,0.326,1.07,0.913,1.25,0.415,1,lm.nb,"Antigen Processing and Presentation, Circadian Signaling, Wnt Signaling",NM_033644.2:740
PTK2-mRNA,0.0681,0.0825,-0.0936,0.23,1.05,0.937,1.17,0.419,1,lm.nb,Cell Migration,NM_005607.5:2431
HECTD1-mRNA,-0.0869,0.106,-0.294,0.12,0.942,0.816,1.09,0.42,1,lm.nb,Antigen Processing and Presentation,NM_015382.2:810
RET-mRNA,-0.714,0.876,-2.43,1,0.609,0.185,2,0.425,1,Wald,Neurogenesis,NM_020630.4:2911
ADH5-mRNA,-0.0827,0.102,-0.282,0.116,0.944,0.823,1.08,0.425,1,lm.nb,Lipid Metabolism,NM_000671.3:832
TAP1-mRNA,-0.891,1.1,-3.05,1.27,0.539,0.12,2.41,0.429,1,Wald,"Antigen Processing and Presentation, Primed Microglia",NM_000593.5:2075
KHSRP-mRNA,-0.0597,0.0751,-0.207,0.0876,0.959,0.866,1.06,0.436,1,loglinear,Proteotoxic Stress,NM_001366299.1:900
TMEM88B-mRNA,0.894,1.13,-1.31,3.1,1.86,0.402,8.59,0.437,1,Wald,,NM_001146685.1:222
MS4A4A-mRNA,0.353,0.447,-0.523,1.23,1.28,0.696,2.34,0.439,1,lm.nb,,NM_001243266.1:296
CALM1-mRNA,-0.14,0.178,-0.488,0.208,0.907,0.713,1.16,0.44,1,lm.nb,Calcium Signaling,NM_006888.4:299
SCN1A-mRNA,-0.388,0.494,-1.36,0.58,0.764,0.391,1.49,0.441,1,lm.nb,"Dopaminergic Synapse, Ion Transport",NM_006920.4:995
SPARC-mRNA,0.256,0.328,-0.387,0.9,1.19,0.765,1.87,0.444,1,lm.nb,"Homeostatic Microglia, Primed Microglia",NM_003118.3:974
MAP2K4-mRNA,-0.15,0.193,-0.527,0.228,0.901,0.694,1.17,0.446,1,lm.nb,MAPK & PI3K,NM_003010.2:771
MAPK14-mRNA,-0.107,0.137,-0.375,0.162,0.929,0.771,1.12,0.446,1,lm.nb,MAPK & PI3K,NM_001315.2:792
CHCHD3-mRNA,0.0623,0.0809,-0.0963,0.221,1.04,0.935,1.17,0.45,1,lm.nb,Glucose Metabolism,NM_017812.2:206
GLS-mRNA,-0.196,0.257,-0.7,0.308,0.873,0.616,1.24,0.455,1,lm.nb,"GABAergic Synapse, Glutamatergic Synapse",NM_014905.3:985
GLRB-mRNA,-0.256,0.337,-0.916,0.404,0.837,0.53,1.32,0.455,1,lm.nb,Neuroactive Ligands and Receptors,NM_000824.4:355
PANX1-mRNA,0.0925,0.122,-0.146,0.331,1.07,0.904,1.26,0.456,1,lm.nb,Inflammasome,NM_015368.3:610
GNAI1-mRNA,-0.182,0.24,-0.652,0.289,0.882,0.636,1.22,0.458,1,lm.nb,"Cannabinoid Signaling, Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse, Serotonergic Synapse",NM_002069.4:670
AMIGO2-mRNA,-0.853,1.13,-3.07,1.36,0.554,0.119,2.57,0.459,1,Wald,A1 Astrocyte,NM_001143668.1:1525
C3AR1-mRNA,1.01,1.35,-1.63,3.66,2.02,0.324,12.6,0.461,1,Wald,"Complement System, Neuroactive Ligands and Receptors, Primed Microglia",NM_004054.2:415
PPM1L-mRNA,-0.171,0.228,-0.619,0.276,0.888,0.651,1.21,0.462,1,lm.nb,Primed Microglia,NM_139245.2:984
SUGT1-mRNA,-0.073,0.0991,-0.267,0.121,0.951,0.831,1.09,0.47,1,lm.nb,Inflammasome,NM_001130912.1:1180
GRIA4-mRNA,-0.181,0.245,-0.662,0.3,0.882,0.632,1.23,0.47,1,lm.nb,"Cannabinoid Signaling, Dopaminergic Synapse, Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_000829.3:475
CUL2-mRNA,0.0875,0.12,-0.148,0.323,1.06,0.903,1.25,0.475,1,lm.nb,"Antigen Processing and Presentation, Hypoxia",NM_003591.2:1395
EIF2AK1-mRNA,-0.089,0.123,-0.33,0.152,0.94,0.795,1.11,0.478,1,lm.nb,Proteotoxic Stress,NM_014413.2:1685
S100A10-mRNA,-0.304,0.425,-1.14,0.529,0.81,0.455,1.44,0.483,1,lm.nb,A2 Astrocyte,NM_002966.1:245
PDE1A-mRNA,-0.304,0.429,-1.14,0.536,0.81,0.453,1.45,0.487,1,lm.nb,Calcium Signaling,NM_005019.3:1500
GPR17-mRNA,0.887,1.25,-1.57,3.34,1.85,0.338,10.1,0.487,1,Wald,"Oligodendrocyte DifferentiationMaturation, Purinergic Signaling",NM_001161415.1:774
C1QB-mRNA,0.718,1.03,-1.3,2.73,1.64,0.407,6.65,0.493,1,Wald,"Complement System, Homeostatic Microglia",NM_000491.3:819
ASNS-mRNA,-0.144,0.207,-0.55,0.263,0.905,0.683,1.2,0.497,1,lm.nb,Proteotoxic Stress,NM_183356.2:1644
ABCA1-mRNA,0.256,0.369,-0.469,0.98,1.19,0.723,1.97,0.497,1,lm.nb,Lipid Metabolism,NM_005502.3:4048
GJD2-mRNA,-0.849,1.23,-3.26,1.56,0.555,0.105,2.95,0.498,1,Wald,Gap Junctions,NM_020660.2:826
WDR35-mRNA,-0.0918,0.134,-0.353,0.17,0.938,0.783,1.13,0.5,1,lm.nb,NO Metabolism and Signaling,NM_001006657.1:1400
RANBP9-mRNA,-0.125,0.184,-0.486,0.236,0.917,0.714,1.18,0.505,1,lm.nb,Neurogenesis,NM_005493.2:2000
CDK5R1-mRNA,-0.136,0.202,-0.533,0.26,0.91,0.691,1.2,0.509,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis, Neurotrophin Signaling",NM_003885.2:418
ANKH-mRNA,0.0906,0.138,-0.179,0.36,1.06,0.883,1.28,0.518,1,lm.nb,Primed Microglia,NM_054027.4:610
SH3GL2-mRNA,-0.301,0.457,-1.2,0.595,0.812,0.436,1.51,0.518,1,lm.nb,"Antigen Processing and Presentation, Neurogenesis",NM_003026.2:381
XK-mRNA,-0.17,0.26,-0.68,0.339,0.889,0.624,1.26,0.519,1,lm.nb,Neurogenesis,NM_021083.2:545
GRIA3-mRNA,-0.145,0.221,-0.579,0.288,0.904,0.67,1.22,0.519,1,lm.nb,"Cannabinoid Signaling, Dopaminergic Synapse, Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_000828.4:426
SPTAN1-mRNA,0.0761,0.116,-0.152,0.304,1.05,0.9,1.23,0.52,1,lm.nb,Neurogenesis,NM_001130438.1:6830
ARL6IP5-mRNA,0.0831,0.129,-0.169,0.335,1.06,0.889,1.26,0.526,1,lm.nb,Glutamatergic Synapse,NM_006407.4:210
CHRM3-mRNA,-0.267,0.416,-1.08,0.548,0.831,0.472,1.46,0.528,1,lm.nb,"Calcium Signaling, Cholinergic Synapse, Neuroactive Ligands and Receptors",NM_000740.2:1345
BUB3-mRNA,-0.0931,0.146,-0.378,0.192,0.938,0.769,1.14,0.53,1,lm.nb,Cell Cycle,NM_004725.3:775
GDPD2-mRNA,0.732,1.15,-1.52,2.99,1.66,0.348,7.93,0.532,1,Wald,,NM_001171191.1:1666
DRD1-mRNA,0.191,0.302,-0.4,0.783,1.14,0.758,1.72,0.533,1,lm.nb,"Astrocyte DifferentiationFunction, Calcium Signaling, Dopaminergic Synapse, Neuroactive Ligands and Receptors",NM_000794.3:1970
NOS1AP-mRNA,0.159,0.251,-0.333,0.652,1.12,0.794,1.57,0.534,1,lm.nb,"NO Metabolism and Signaling, Oxidative & Nitrosative Stress",NM_014697.3:1706
GABRA5-mRNA,-0.219,0.348,-0.901,0.464,0.859,0.535,1.38,0.537,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors",NM_000810.3:1054
PMEPA1-mRNA,-0.155,0.249,-0.643,0.333,0.898,0.641,1.26,0.541,1,lm.nb,TGF-Beta Signaling,NM_199171.2:254
MX1-mRNA,-0.108,0.179,-0.459,0.244,0.928,0.727,1.18,0.555,1,lm.nb,Interferon Signaling,NM_002462.2:1485
MYO5A-mRNA,-0.198,0.332,-0.849,0.453,0.872,0.555,1.37,0.557,1,lm.nb,"Cytoskeletal Dynamics, Myelogenesis",NM_000259.1:5090
SLC1A3-mRNA,-0.146,0.245,-0.627,0.335,0.903,0.647,1.26,0.557,1,lm.nb,Glutamatergic Synapse,NM_004172.4:558
LAMP1-mRNA,0.105,0.176,-0.241,0.451,1.08,0.846,1.37,0.558,1,lm.nb,Autophagy,NM_005561.3:730
PTPRZ1-mRNA,-0.164,0.276,-0.704,0.376,0.893,0.614,1.3,0.559,1,lm.nb,"Astrocyte Markers, Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_002851.2:2380
ENO2-mRNA,-0.188,0.318,-0.811,0.435,0.878,0.57,1.35,0.561,1,lm.nb,"Glucose Metabolism, Hypoxia, Neuronal Markers",NM_001975.2:1420
BTRC-mRNA,-0.0741,0.125,-0.32,0.172,0.95,0.801,1.13,0.561,1,lm.nb,"Antigen Processing and Presentation, T-cell signaling, Wnt Signaling",NM_001256856.1:1004
MAP1LC3B-mRNA,-0.0475,0.0809,-0.206,0.111,0.968,0.867,1.08,0.564,1,lm.nb,Autophagy,NM_022818.5:153
ENTPD2-mRNA,0.694,1.19,-1.64,3.03,1.62,0.32,8.18,0.567,1,Wald,Purinergic Signaling,NM_203468.1:206
GAD2-mRNA,0.14,0.241,-0.332,0.612,1.1,0.794,1.53,0.568,1,lm.nb,GABAergic Synapse,NM_000818.2:1245
SCD5-mRNA,0.131,0.228,-0.317,0.579,1.09,0.803,1.49,0.573,1,lm.nb,Lipid Metabolism,NM_024906.2:512
SLC24A3-mRNA,-0.15,0.263,-0.666,0.366,0.901,0.63,1.29,0.575,1,lm.nb,Primed Microglia,NM_020689.3:780
PDPK1-mRNA,0.0905,0.162,-0.226,0.407,1.06,0.855,1.33,0.582,1,lm.nb,"Cell Migration, Insulin Signaling, Neurotrophin Signaling, T-cell signaling",XM_011522521.2:4552
CSF3R-mRNA,0.999,1.8,-2.53,4.53,2,0.173,23.1,0.586,1,Wald,Cytokines,NM_000760.3:2066
RAPGEF2-mRNA,-0.0965,0.175,-0.44,0.247,0.935,0.737,1.19,0.588,1,lm.nb,MAPK & PI3K,NM_014247.2:3445
HACD3-mRNA,-0.064,0.117,-0.292,0.164,0.957,0.817,1.12,0.589,1,lm.nb,Lipid Metabolism,NM_016395.2:235
STAT3-mRNA,-0.145,0.27,-0.674,0.385,0.905,0.627,1.31,0.598,1,lm.nb,"JAK-STAT, Neurogenesis",NM_003150.3:2060
TMEM100-mRNA,0.688,1.28,-1.83,3.2,1.61,0.282,9.21,0.598,1,Wald,Astrocyte Markers,NM_018286.2:655
PIK3R1-mRNA,0.0749,0.14,-0.2,0.35,1.05,0.87,1.27,0.6,1,lm.nb,MAPK & PI3K,NM_181504.2:1105
PPM1A-mRNA,-0.093,0.174,-0.435,0.249,0.938,0.74,1.19,0.6,1,lm.nb,MAPK & PI3K,NM_021003.4:550
HLA-A-mRNA,-0.174,0.327,-0.815,0.466,0.886,0.569,1.38,0.6,1,lm.nb,"A1 Astrocyte, Antigen Processing and Presentation",NM_002116.5:1000
ITPR1-mRNA,-0.163,0.308,-0.768,0.441,0.893,0.587,1.36,0.603,1,lm.nb,"Apoptosis, Calcium Signaling",NM_001099952.2:4818
MBTPS1-mRNA,-0.0706,0.134,-0.333,0.191,0.952,0.794,1.14,0.603,1,lm.nb,Proteotoxic Stress,NM_003791.2:1434
CHN1-mRNA,-0.156,0.297,-0.737,0.425,0.898,0.6,1.34,0.605,1,lm.nb,Neurogenesis,NM_001025201.3:1018
SERPING1-mRNA,-0.189,0.362,-0.898,0.521,0.877,0.537,1.43,0.608,1,lm.nb,"A1 Astrocyte, Complement System",NM_000062.2:305
PCCA-mRNA,0.0747,0.144,-0.208,0.357,1.05,0.866,1.28,0.61,1,lm.nb,Lipid Metabolism,NM_000282.3:1022
STMN1-mRNA,-0.122,0.236,-0.583,0.34,0.919,0.667,1.27,0.611,1,lm.nb,"MAPK & PI3K, Neurogenesis, Neuronal Markers",NM_203401.1:478
ACADM-mRNA,0.053,0.103,-0.148,0.254,1.04,0.902,1.19,0.611,1,lm.nb,Lipid Metabolism,NM_000016.5:1289
PTGS2-mRNA,-0.867,1.68,-4.16,2.43,0.548,0.0559,5.38,0.612,1,Wald,"A2 Astrocyte, Cannabinoid Signaling, Lipid Metabolism, NF-kappaB Signaling, NO Metabolism and Signaling, Serotonergic Synapse",NM_000963.1:495
TRIM26-mRNA,0.0895,0.176,-0.255,0.434,1.06,0.838,1.35,0.616,1,lm.nb,"Interferon Signaling, Primed Microglia",NM_001242783.1:860
AGMO-mRNA,0.53,1.05,-1.53,2.59,1.44,0.346,6.02,0.62,1,Wald,Lipid Metabolism,NM_001004320.1:320
ATF2-mRNA,0.0435,0.0874,-0.128,0.215,1.03,0.915,1.16,0.624,1,lm.nb,"Cytokines, Dopaminergic Synapse, MAPK & PI3K",NM_001256091.1:668
ESAM-mRNA,0.129,0.261,-0.382,0.641,1.09,0.767,1.56,0.626,1,lm.nb,"Blood Brain Barrier, Cell Migration",NM_138961.2:715
FGF13-mRNA,-0.124,0.254,-0.622,0.375,0.918,0.65,1.3,0.631,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_001139498.1:410
PRKCE-mRNA,-0.108,0.222,-0.543,0.328,0.928,0.686,1.26,0.633,1,lm.nb,Phagocytosis,NM_005400.2:1138
TLR2-mRNA,0.849,1.76,-2.59,4.29,1.8,0.166,19.6,0.634,1,Wald,"NO Metabolism and Signaling, Oligodendrocyte DifferentiationMaturation, Primed Microglia",NM_003264.3:2402
PRKAB2-mRNA,0.0986,0.206,-0.305,0.502,1.07,0.81,1.42,0.637,1,lm.nb,"Glucose Metabolism, Lipid Metabolism",NM_005399.5:712
MTMR4-mRNA,-0.0639,0.134,-0.326,0.199,0.957,0.798,1.15,0.638,1,lm.nb,Autophagy,NM_004687.4:1098
TRIM2-mRNA,0.068,0.143,-0.212,0.348,1.05,0.864,1.27,0.639,1,lm.nb,"Interferon Signaling, Primed Microglia",NM_001302694.1:298
